url,source,collected_date,confirmation_method,is_reachable,http_status,reachability_error,label,rank
https://l.ead.me/bfO3Lu,"phishtank,phishtank_kaggle",2024-09-12,feed_domain,True,200.0,,1,
https://qrco.de/bffkin,"phishtank,phishtank_kaggle",2025-01-12,feed_domain,True,200.0,,1,
https://l.ead.me/bfTGaQ,"phishtank,phishtank_kaggle",2024-10-11,feed_domain,True,200.0,,1,
https://l.ead.me/bfLz06,"phishtank,phishtank_kaggle",2024-08-30,feed_domain,True,200.0,,1,
https://qrco.de/bfaTVG?userID=echcWUV1,"phishtank,phishtank_kaggle",2024-11-24,feed_domain,True,200.0,,1,
https://tinyurl.com/3jru4txs,phishtank,2026-06-05,feed_domain,True,200.0,,1,
https://sites.google.com/view/bt-clould-preview000112/voice010101010bt-cloud?authuser=8,"phishtank,phishtank_kaggle",2021-04-30,feed_domain,True,200.0,,1,
https://qrco.de/bgbxrA,"phishtank,phishtank_kaggle",2026-02-11,feed_domain,True,200.0,,1,
https://sites.google.com/view/roste/accueil,"phishtank,phishtank_kaggle",2024-06-11,feed_domain,True,200.0,,1,
https://sites.google.com/view/web-de-web/home,"phishtank,phishtank_kaggle",2025-06-12,feed_domain,True,200.0,,1,
https://qrco.de/bgbRIR,"phishtank,phishtank_kaggle",2026-02-07,feed_domain,True,200.0,,1,
http://sites.google.com/logiwallets.com/uphold-login/home,"phishtank,phishtank_kaggle",2025-11-02,feed_domain,True,403.0,,1,
https://l.ead.me/bgbb2l,"phishtank,phishtank_kaggle",2026-02-07,feed_domain,True,200.0,,1,
https://sites.google.com/view/adrinalokafor,"phishtank,phishtank_kaggle",2023-11-15,feed_domain,True,200.0,,1,
https://qrco.de/bf20SsCkmascajsdowet2c,"phishtank,phishtank_kaggle",2024-05-11,feed_domain,True,200.0,,1,
https://qrco.de/bfJrwc,"phishtank,phishtank_kaggle",2024-08-19,feed_domain,True,200.0,,1,
https://l.ead.me/bga9bj,"phishtank,phishtank_kaggle",2026-01-26,feed_domain,True,200.0,,1,
https://l.ead.me/bgZrEI,"phishtank,phishtank_kaggle",2026-01-24,feed_domain,True,200.0,,1,
https://l.ead.me/bfJ4G8,"phishtank,phishtank_kaggle",2024-08-14,feed_domain,True,200.0,,1,
https://l.ead.me/bfECot,"phishtank,phishtank_kaggle",2024-07-15,feed_domain,True,200.0,,1,
https://qrco.de/bfRDhq,"phishtank,phishtank_kaggle",2024-09-30,feed_domain,True,200.0,,1,
